Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
"Some Hydras poyson, or the blood of Nessus Cleave to your flesh:",myth,violence,anatomy,adhesion,,,
my blood swells beyond my power,anatomy,medicine,character_traits__nature,,,,
"my voice Louder than his that thunders through the cloudes, Shall speake this monstrous murder to the world,",sounds,nature,language,deformities__disabilities,violence,,
"the abused Duke's afire,",deception,politics,fire,,,,
Through Borgias blood I'le runne to my desire.,spatial,anatomy,movement,emotions,,,
"Priapus, you womans God assist me with a Iouiall ability:   ",myth,women,religion,assistance,joviality,sexuality,
this night I may beget a Hercules:,darkness,reproduction,myth,,,,
"Fortune I must confesse you hast turnd up your muffler, and cast a gratious aspect",mystical,language,clothes,concealment,appearance,,
"least I should be like a Peacocke all taile and no heart, ",animals,anatomy,privation,,,,
"[Drink] comforts the inward fires the braines,",food,feelings,spatial,fire,anatomy,,
[Drink] makes a man lay about him like a dutchman. ,food,men,sleep,ethnicity__nationality,,,
this deuine pill to his hopefull working: least my staffe be out of the rest when my aduersary is in the carriere.,religion,medicine,labor,social_relations,,,
So Cupids faire mother be your mid wife:,myth,familial,reproduction,,,,
"what Summoners Ghost or limb of Lucifer, puts poore Bordello in minde of pennance before he has trespassed?",mystical,anatomy,religion,mental_faculty__state__entities,feelings,judiciary,
"his feare doth apprehend me for a ghost, And I must feed it.",emotions,mental_faculty__state__entities,food,,,,
the devil should be an enemy to lechery.,religion,social_relations,sexuality,,,,
Lend us your wind to coole this posset.,economics,breathing,temperature,food,,,
I have bene constrained  to puffe and blow in your Ladiships seruice.,incarceration,breathing,women,social_relations,,,
[he] was a beastly knaue to put pono [put in] behind gigno [to beget] there is no musique in it: ,animals,social_status,spatial,reproduction,music,,
"the dayes of hunger, when the slave was a straunger in the land of Hauilah: ",time,food,social_status,social_relations,geography,religion,
"But the word is retrograde, the last age is a golden age with him. ",language,astrology,time,economics,,,
the sonne of Saturne appeares.,familial,astrology,appearance,,,,
the Dog-fish had bene bayting Cerberus ere this time.,animals,hunting__fishing,myth,time,,,
so nigh Court Incubus on my life.,spatial,politics,religion,life,,,
"Feare and suspition, two night-waking charmes, Banish all sleepe, suggesting in my thoughts, Falsehood and treason:",emotions,mental_faculty__state__entities,darkness,sleep,mystical,politics,deception
"I am slow and dull, Discending like the earth",movement,physical_activities,nature,,,,
What Prickes like the thorne of Philomel at my breast: And tels me there is daunger in my rest.,violence,nature,myth,anatomy,language,danger__safety,sleep
To tye a Gordian knot about her waste And bid her welcome,clothes,myth,anatomy,commands,greetings,,
"that empty claspe, Deluding my false hopes with nought but ayre, Makes my blood angry, ",privation,affection,deception,emotions,nature,anatomy,
Saue me eternall guard of innocence:,assistance,time,military,character_traits__nature,,,
"treason, villaine you shalt buy my blood.",politics,ethics,economics,anatomy,,,
all you hast gained Is that my soul dies clear and leaves your stained. ,economics,religion,death,judiciary,cleaning,,
My hand first dies the scene : and it shall fill The stage with vengeance,anatomy,death,theatre,violence,,,
"Nemesis shall wade Vp to the chin and bath herselfe in blood,",myth,movement,anatomy,cleaning,,,
The dangling snakes that hang about her [Nemesis] neck Shall sucke like Lethe of the purple gore Shed for my Julia's death.,animals,myth,anatomy,food,colors,violence,death
"I'll feast the ravenous people of the aire, And fill the hungrie wolues with slaughtered men.",food,social_relations,nature,animals,violence,,
"The streets of Florence like the streets of Rome (When death & Scylla reingd) shall run with blood,",urban,historical,death,politics,anatomy,,
"Their [the streets] swelling channels with a scarlet tide Shall wash the stores,",urban,colors,nature,cleaning,economics,,
The angry gods of wrath shall smile as pleasd To seeme so revengd,emotions,religion,facial_expressions,feelings,violence,,
"your death Is but a prologue to induce a plot,",death,theatre,politics,,,,
"I must reach higher, and on your disguise Lay but the ground-worke for revenge to rise.",spatial,theatre,architecture,violence,physical_activities,,
"Be pleas'd ye powers of night, and 'bout me skip Your anticke measures: like to coal black moores, Dauncing their high Lavoltos to the Sun Circle me round: and in the midst I'll stand, And cracke my sides with laughter at your sports.",feelings,darkness,joviality,materials,colors,ethnicity__nationality,nature
my hopes fat me,emotions,food,,,,,
One night shall crowne me happy,quantities,darkness,politics,emotions,,,
"Borgias wife Appeares vnto the Dukes for Iulias ghost, To breed suspition in them of her murder,",matrimony,appearance,politics,mystical,reproduction,mental_faculty__state__entities,violence
"I tooke thee from your graue Not for the love I bore , but to sucke from your vse the sweets of love",death,emotions,food,social_relations,,,
t'was love and state Gaue thee this time of life to strength my fate:,emotions,politics,time,life,assistance,mystical,
But blabbe not: silence tongue:,language,sounds,anatomy,,,,
drownd in contemplation,violence,mental_faculty__state__entities,,,,,
"Heauenly creation, beauties abstract, natures wonder.",religion,appearance,mental_faculty__state__entities,nature,,,
"I was overborne, And carried from my selfe with idle thoughts Of what sad melancholly suggested in me",labor,character_traits__nature,mental_faculty__state__entities,emotions,,,
Their eyes like fiered starres set on your face:,anatomy,fire,astrology,,,,
their haire vpright? Stiffe like the quils of Porcupines,anatomy,physical_attributes,animals,,,,
giues our hope true life.,emotions,life,,,,,
"Were I a Venus you shouldst be my Mars, And I would court thee euen in Phebus sight, Alyough it mou'd an enuy in the gods.",myth,courting,appearance,emotions,religion,,
"Be Jovial & like Salmecis, your love Shall cling about your necke.",myth,emotions,adhesion,anatomy,,,
"I'll dance before thee like a faiery Nimph, And with my pleasing motions make thee sport",joviality,myth,movement,games__sports,,,
"Ile court thee nak'd, as did the Queene of thoughts Her sullen boy, and all to make thee sport.",courting,clothes,politics,mental_faculty__state__entities,lifes_cycle,games__sports,
Time has not set the characters of age On my smooth browe,time,physical_attributes,lifes_cycle,anatomy,,,
"my pulses beate as high, As when my first youth lifted up my blood,",anatomy,spatial,lifes_cycle,physical_activities,,,
I buy no beauty,economics,appearance,,,,,
nor has nature bene A niggard in my face,nature,economics,anatomy,,,,
"I am yet young Fresh and delight some, as the checkerd spring,",lifes_cycle,sexuality,colors,nature,,,
"The Lilly and the Rose growe in my cheekes, And make a bed for love to rest him on.",nature,anatomy,sexuality,emotions,sleep,,
I must pilgrim to a love devine.,religion,emotions,,,,,
Faire Amada's the saint that I adore.,appearance,religion,devotion,,,,
"my daughter Amada, Haue I in my bosome nurst a snake",familial,anatomy,food,animals,,,
"No fierce streamd torrent, nor no storme at Sea, No stepdame is halfe so raging",violence,nature,familial,emotions,,,
"my blood was not so strong, When you wert got: now ti's like the Sea,",anatomy,physical_attributes,reproduction,nature,,,
My soul a Barke that runnes with wind and tyde And cannot stop,religion,nautical,movement,nature,hindrance,,
"the Anchor of my thoughts (Reason) is lost,",nautical,mental_faculty__state__entities,privation,,,,
"like the vine-gods priests Running downe Nile or from Pindus top, I am vnstaid and doubtfull in my course.",myth,religion,movement,geography,spatial,mental_faculty__state__entities,
"Love is a God, Strong, free, vnbounded,",emotions,religion,social_relations,incarceration,,,
"Had our soules no deeper sence then flesh, Were they like waxen pictures formable Obsequiously to take impression From every rude hand, and be like this will, That wils us vnto some deformity,",religion,spatial,sensations,anatomy,art,mental_faculty__state__entities,deformities__disabilities
my environed spirit Should not thus swell beyond my present freedome,spatial,religion,size,social_relations,,,
confined your hope,incarceration,emotions,,,,,
"Ile proue 'gainst reason and receiued truth, Like breedes not like, in breeding every thing",judiciary,resistance,mental_faculty__state__entities,language,reproduction,,
Cleere streames may flowe euen from a troubled spring.,cleaning,nature,movement,suffering,,,
"all the rest [of the tormented souls in hell] did stand Catching the air from his [the Thracian's tunes] delicious hand, I would I might pertake their happines.",violence,religion,nature,myth,music,anatomy,emotions
"you shall heare such musicke as would make The greedy wolfe forsake the tender lamb,",sensations,music,economics,animals,privation,,
such [music] as the sonne of Neptune Playd to the Dolphins: when they in a ring Danct their crookt measures but to heare him sing.,music,familial,myth,animals,joviality,spatial,sensations
